[2026-04-17T14:04:46Z] === ENRICH ITERATION 7 START | repo=facebook/jest sha=67c1aa20 ===
[2026-04-17T14:04:46Z] [iter=7] PHASE START: enrich repo=facebook/jest sha=67c1aa20 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/67c1aa20-enrich-iter-007.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/67c1aa20c5fec31366d733e901fee2b981cb1850.nq.gz
[2026-04-17T14:05:31Z] [iter=7] Step 1: Loading AST into disk-backed store mem_mb=83 MB
[2026-04-17T14:07:13Z] [iter=7] AST store loaded triples=9309439 load_secs=98 mem_mb=1096 MB
[2026-04-17T14:07:13Z] [iter=7] Step 2: Finding LSP targets mem_mb=1096 MB
[2026-04-17T14:07:23Z] [iter=7] LSP targets found call_sites=81315 imports=2227 extends=133 implements=9 secs=10
[2026-04-17T14:07:36Z] [iter=7] Loaded checkpoint partial graph triples=294142
[2026-04-17T14:07:42Z] [iter=7] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1222 MB
[2026-04-17T14:08:36Z] [iter=7] Position index built positions=604380 nodes_with_types=724270 secs=55 mem_mb=2284 MB
[2026-04-17T14:08:36Z] [iter=7] Step 3: Starting LSP resolution mem_mb=2284 MB already_completed_types=[] already_completed_files=841
[2026-04-17T14:08:36Z] [iter=7] Resolving target type target_type=call_site count=81315
[2026-04-17T14:08:37Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=3.9 files_done=0 resolved=0 errors=0 current=packages/jest-snapshot/src/InlineSnapshots.ts
[2026-04-17T14:11:56Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=7.2 files_done=1 resolved=0 errors=54 current=packages/jest-transform/src/__tests__/shouldInstrument.test.ts
[2026-04-17T14:13:43Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=9.0 files_done=2 resolved=0 errors=83 current=packages/jest-config/src/getCacheDirectory.ts
[2026-04-17T14:15:37Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=10.9 files_done=4 resolved=0 errors=114 current=packages/jest-environment-jsdom/src/__mocks__/index.ts
[2026-04-17T14:19:49Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=15.0 files_done=7 resolved=0 errors=182 current=e2e/__tests__/supportsDashedArgs.ts
[2026-04-17T14:21:29Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=16.7 files_done=9 resolved=3 errors=209 current=e2e/__tests__/watchModePatterns.test.ts
[2026-04-17T14:22:25Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=17.6 files_done=10 resolved=4 errors=224 current=packages/expect/src/__tests__/matchers-toStrictEqual.property.test.ts
[2026-04-17T14:23:57Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=19.2 files_done=11 resolved=4 errors=249 current=packages/expect/src/__tests__/stacktrace.test.ts
[2026-04-17T14:24:49Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=20.0 files_done=12 resolved=4 errors=263 current=e2e/__tests__/errorOnDeprecated.test.ts
[2026-04-17T14:25:19Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=20.5 files_done=13 resolved=5 errors=271 current=e2e/__tests__/browserResolve.ts
[2026-04-17T14:26:03Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=21.3 files_done=15 resolved=5 errors=283 current=packages/jest-resolve/src/fileWalkers.ts
[2026-04-17T14:27:43Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=22.9 files_done=16 resolved=5 errors=310 current=packages/jest-matcher-utils/src/__tests__/index.test.ts
[2026-04-17T14:31:21Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=26.6 files_done=17 resolved=14 errors=368 current=packages/jest-config/src/utils.ts
[2026-04-17T14:32:32Z] [iter=7] HEARTBEAT target_type=call_site elapsed_min=27.8 files_done=18 resolved=14 errors=387 current=packages/jest-transform/src/runtimeErrorsAndWarnings.ts
